iso3,year,k_gfcf_wdi,k_gcf_wdi,r_rd_gerd,r_edu_pub,r_hitech_share_mexp,m_imports_wdi,m_manuf_share_imp,x_exports_wdi,x_fuel_share_exp,x_ores_share_exp,x_resource_rents,f_fdi_out,f_fdi_in,w_gov_cons_wdi,w_tax_wdi,w_gov_exp_wdi,w_transfers_share_exp,mil_exp_wdi,mil_exp_sipri,w_gov_exp_hist,w_tax_ictd,w_social_exp,r_edu_pub_hist,w_redist_abs,w_redist_abs_all,w_redist_rel,gini_mkt,gini_disp,k_csh_i_pwt,w_csh_g_pwt,m_csh_m_pwt,x_csh_x_pwt,m_manuf_imports,x_primary_exports,w_transfers,w_civil_cons,acc_k,acc_r,acc_m,acc_x,acc_f,acc_w,budget_total,a_k,a_r,a_m,a_x,a_f,a_w,n_acc_obs
ABW,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.445748,0.112802,0.498495,0.507427,,,,0.112802,0.351596,,0.316243,,,0.112802,,,,,,,,3
ABW,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.433276,0.109667,0.470734,0.517001,,,,0.109667,0.341759,,0.298631,,,0.109667,,,,,,,,3
ABW,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.434323,0.110863,0.459909,0.509049,,,,0.110863,0.342585,,0.291765,,,0.110863,,,,,,,,3
ABW,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.416243,0.105631,0.45847,0.55548,,,,0.105631,0.328324,,0.290852,,,0.105631,,,,,,,,3
ABW,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.405143,0.0997736,0.514043,0.653383,,,,0.0997736,0.319569,,0.326107,,,0.0997736,,,,,,,,3
ABW,1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.421617,0.101748,0.513605,0.63329,,,,0.101748,0.332562,,0.325829,,,0.101748,,,,,,,,3
ABW,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.414295,0.101152,0.50401,0.632753,,,,0.101152,0.326787,,0.319742,,,0.101152,,,,,,,,3
ABW,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.433246,0.107341,0.529968,0.608717,,,,0.107341,0.341735,,0.336209,,,0.107341,,,,,,,,3
ABW,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41011,0.101197,0.494778,0.62375,,,,0.101197,0.323486,,0.313885,,,0.101197,,,,,,,,3
ABW,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.387707,0.0944972,0.490163,0.668752,,,,0.0944972,0.305815,,0.310958,,,0.0944972,,,,,,,,3
ABW,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.384474,0.0935911,0.523287,0.70887,,,,0.0935911,0.303265,,0.331971,,,0.0935911,,,,,,,,3
ABW,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.388662,0.0963172,0.530246,0.703673,,,,0.0963172,0.306568,,0.336386,,,0.0963172,,,,,,,,3
ABW,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39309,0.0968998,0.513368,0.679033,,,,0.0968998,0.310061,,0.325679,,,0.0968998,,,,,,,,3
ABW,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.385909,0.0955791,0.499054,0.672861,,,,0.0955791,0.304397,,0.316598,,,0.0955791,,,,,,,,3
ABW,1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.385251,0.0956562,0.497862,0.668966,,,,0.0956562,0.303878,,0.315842,,,0.0956562,,,,,,,,3
ABW,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.357274,0.0895685,0.444094,0.675537,,,,0.0895685,0.28181,,0.281732,,,0.0895685,,,,,,,,3
ABW,1986,,,,,,,,,,,8.78297e-06,0,0,,,,,,,,,,,,,,,,0.364344,0.093606,0.410115,0.617911,,,,0.093606,0.287387,,0.260176,2.63489e-06,0,0.093606,,,,,,,,5
ABW,1987,,,,,,,,,,,7.34404e-06,0,0.00223058,,,,,,,,,,,,,,,,0.353578,0.0920255,0.383906,0.611897,,,,0.0920255,0.278895,,0.243548,2.20321e-06,0,0.0920255,,,,,,,,5
ABW,1988,,,,,,,0.691289,,0.00213454,0.0120774,5.75272e-06,0.00373725,0.0205549,,,,,,,,,,,,,,,,0.351074,0.092591,0.38694,0.614517,,0.00797753,,0.092591,0.27692,0.0476316,0.238496,1.72582e-06,0.00373725,0.092591,0.659377,0.419972,0.0722373,0.361698,2.61734e-06,0.00566785,0.140422,6
