iso3,year,co2_mt,co2_pc,co2_per_gdp,co2_incl_luc_mt,co2_luc_mt,co2_coal_mt,co2_oil_mt,co2_gas_mt,co2_cement_mt,co2_flaring_mt,co2_cons_mt,co2_cons_pc,co2_trade_mt,co2_trade_share,co2_cum_mt,co2_cum_incl_luc_mt,co2_cum_luc_mt,co2_share_world,co2_cum_share_world,ch4_mtco2e,n2o_mtco2e,ghg_mtco2e,ghg_excl_lucf_mtco2e,ghg_pc,dT_from_ghg,dT_from_co2,dT_share_world,primary_energy_twh,coal_prod_twh,oil_prod_twh,gas_prod_twh,fossil_cons_twh,fossil_share_energy,fossil_prod_twh,tmp_pw_udel,pre_pw_udel,tmp_anom_fao_sd,tmp_anom_fao,tmp_level,tmp_level_src,tmp_era5_decadal,dis_n_total,dis_n_climate,dis_n_flood,dis_n_storm,dis_n_drought,dis_n_extreme_temp,dis_n_wildfire,dis_n_geo,dis_deaths,dis_deaths_climate,dis_affected,dis_damage_kusd,dis_damage_climate_kusd,biocap_pc_2018ed,biocap_gha,ef_cons_pc_2018ed,ef_cons_gha,ef_exports_pc,ef_exports_gha,ef_imports_pc,ef_imports_gha,ef_prod_pc,ef_carbon_pc,ef_net_imports_gha,ef_cons_pc_2025ed,biocap_pc_2025ed,forest_pct,forest_km2,agri_land_pct,arable_land_pct,cereal_yield,fertilizer_kg_ha,pre_clim_wdi,water_stress_pct,fw_withdrawal_pct,pop_below5m_pct,drought_flood_pop_pct,forest_rents_pct,depl_forest_pct_gni,depl_natres_pct_gni,depl_energy_pct_gni,depl_mineral_pct_gni,dmg_co2_pct_gni,dmg_pm_pct_gni,protected_land_pct,pm25,fish_capture_t,threatened_mammals,material_footprint_t,material_footprint_pc,sdi,ndgain_index,ndgain_vulnerability,ndgain_readiness,ndgain_food,ndgain_water,tmp_pattern_beta,ef_cons_pc,biocap_pc,eco_deficit_pc,ef_net_imports_pc,forest_loss_pct,tmp_anom_level,tmp_level_sq
ABW,1950,0.41,9.578,,,,0.0,0.41,0.0,0.0,0.0,,,,,0.41,,,0.007,0.0,0.01,0.0,0.42,0.42,9.831,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1718548383271143,,,,,,,
ABW,1951,0.646,14.721,,,,0.0,0.646,0.0,0.0,0.0,,,,,1.056,,,0.01,0.0,0.011,0.0,0.657,0.656,14.971,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1718548383271143,,,,,,,
ABW,1952,0.373,8.279,,,,0.0,0.373,0.0,0.0,0.0,,,,,1.429,,,0.006,0.001,0.011,0.0,0.384,0.383,8.528,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1718548383271143,,,,,,,
ABW,1953,0.432,9.329,,,,0.0,0.432,0.0,0.0,0.0,,,,,1.86,,,0.006,0.001,0.011,0.0,0.443,0.442,9.577,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1718548383271143,,,,,,,
ABW,1954,0.873,18.376,,,,0.0,0.873,0.0,0.0,0.0,,,,,2.733,,,0.013,0.001,0.012,0.0,0.885,0.884,18.631,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1718548383271143,,,,,,,
ABW,1955,0.722,14.804,,,,0.0,0.722,0.0,0.0,0.0,,,,,3.456,,,0.01,0.001,0.012,0.0,0.734,0.734,15.055,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1718548383271143,,,,,,,
ABW,1956,0.934,18.65,,,,0.0,0.934,0.0,0.0,0.0,,,,,4.39,,,0.012,0.002,0.012,0.0,0.947,0.946,18.905,0.0,0.0,0.001,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1718548383271143,,,,,,,
ABW,1957,0.638,12.416,,,,0.0,0.638,0.0,0.0,0.0,,,,,5.028,,,0.008,0.002,0.012,0.0,0.651,0.65,12.665,0.0,0.0,0.001,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1718548383271143,,,,,,,
ABW,1958,0.559,10.607,,,,0.0,0.559,0.0,0.0,0.0,,,,,5.586,,,0.007,0.002,0.013,0.0,0.572,0.571,10.854,0.0,0.0,0.001,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1718548383271143,,,,,,,
ABW,1959,0.719,13.321,,,,0.0,0.719,0.0,0.0,0.0,,,,,6.306,,,0.008,0.002,0.013,0.001,0.733,0.732,13.568,0.0,0.0,0.001,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1718548383271143,,,,,,,
