iso3,year,wpp_projection,pop_wpp,share_0_14,share_15_24,share_15_29,share_15_64,share_65p,youth_bulge_15_24_adult,youth_bulge_15_29_adult,male_share_15_29,dependency_ratio,median_age,tfr,life_expectancy,net_migration,crude_birth_rate,crude_death_rate,pop_growth,net_migration_rate,pop_wpp_lo80,pop_wpp_hi80,pop_wpp_low_var,pop_wpp_high_var,urban_share,urban_share_imputed,urban_pop_growth,creg_ethfrac,creg_ethpol,creg_relfrac,creg_relpol,hief_efindex,epr_excluded_share,epr_discriminated_share,epr_monopoly_dominant,epr_n_groups,epr_largest_group,v2stfisccap,v2svstterr,v2clrspct,v2stcritrecadm,v2x_rule,v2cacamps,v2pepwrsoc,v2xpe_exlsocgr,v2exl_legit_nationalist,rivalries_active,rivalries_spatial,rivalry_years_cum,trust_wvs,trust_wvs_interp,trust_wvs_mean,al_ethnic,al_language,al_religion,colonial_ruler,indep_year,indep_violent,former_colony,rugged,log_mountainous,years_since_indep,state_age,state_capacity_index,cohesion_index,asabiya_proxy
ABW,1950,0,0.043282,0.411002,0.172728,0.240839,0.536366,0.0526316,0.293257,0.408897,0.114944,0.864398,19.7757,5.82681,57.9872,0,0.041571,0.016262,0.02546,0,,,,,0.539123,1,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0.3889,0.4107,,,,,,,,,,,
ABW,1951,0,0.044434,0.417046,0.172908,0.240221,0.535986,0.0469685,0.296607,0.412076,0.114462,0.865721,19.4787,5.76114,58.7287,0,0.040896,0.014857,0.02627,0,,,,,0.543531,1,0.0344096,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0.3889,0.4107,,,,,,,,,,,
ABW,1952,0,0.045624,0.421927,0.172848,0.239611,0.535924,0.0421489,0.299007,0.414499,0.114238,0.865936,19.2337,5.67808,59.4455,0,0.040129,0.013593,0.02643,0,,,,,0.547931,1,0.0344923,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0.3889,0.4107,,,,,,,,,,,
ABW,1953,0,0.046867,0.425779,0.172787,0.2397,0.535899,0.0383212,0.300907,0.417435,0.114494,0.866022,19.0031,5.5585,60.1194,0,0.039126,0.012458,0.02688,0,,,,,0.552324,1,0.0348652,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0.3889,0.4107,,,,,,,,,,,
ABW,1954,0,0.048121,0.42894,0.172731,0.240519,0.536024,0.0350367,0.302475,0.421179,0.115189,0.865589,18.794,5.42114,60.8166,0,0.03803,0.011396,0.0264,0,,,,,0.556709,1,0.0343123,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0.3889,0.4107,,,,,,,,,,,
ABW,1955,0,0.049415,0.431367,0.172377,0.241101,0.535951,0.0326824,0.303142,0.424001,0.115694,0.865844,18.6506,5.27438,61.4522,0,0.036888,0.010467,0.02654,0,,,,,0.561085,1,0.034365,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0.3889,0.4107,,,,,,,,,,,
ABW,1956,0,0.050712,0.432935,0.172227,0.241718,0.536264,0.0308014,0.303717,0.426261,0.116067,0.864755,18.5607,5.10755,62.0445,0,0.035625,0.00965,0.02591,0,,,,,0.565451,1,0.0336606,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0.3889,0.4107,,,,,,,,,,,
ABW,1957,0,0.052018,0.432754,0.172671,0.242724,0.537525,0.0297205,0.304402,0.427898,0.116748,0.860377,18.5288,4.92564,62.6002,0,0.034306,0.00894,0.02543,0,,,,,0.569807,1,0.0331019,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0.3889,0.4107,,,,,,,,,,,
ABW,1958,0,0.053318,0.430699,0.174725,0.245152,0.540418,0.0288833,0.306912,0.430619,0.118309,0.85042,18.5262,4.75939,63.1536,0,0.033119,0.008322,0.02468,0,,,,,0.574153,1,0.0322816,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0.3889,0.4107,,,,,,,,,,,
ABW,1959,0,0.054645,0.427212,0.17815,0.248513,0.544258,0.0285296,0.311022,0.433866,0.120231,0.837363,18.5483,4.64877,63.6106,0,0.032343,0.007853,0.02458,0,,,,,0.578487,1,0.0321041,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0.3889,0.4107,,,,,,,,,,,
