iso3,year,top1_share_ptinc,top10_share_ptinc,mid40_share_ptinc,bot50_share_ptinc,top1_share_wealth,top10_share_wealth,bot50_share_wealth,gini_ptinc_wid,gini_wealth_wid,avg_inc_bot50,avg_inc_top1,avg_inc_top10,avg_inc_all,nni_per_adult,top1_bot50_income_ratio,bot50_rel_income,wid_flat_flag,gini_disp,gini_disp_se,gini_mkt,gini_mkt_se,redist_rel,tert_share_2564,tert_compl_share_2564,tert_share_2534,yr_sch_2564,youth_share_1524_of_1564,tert_enrol_gross,hh_cons_pc_2015usd,youth_unemp,urban_share,rel_wage_pwt,wage_per_worker_pwt,emp_pop_ratio
ABW,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.590237,,,
ABW,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.590728,,,
ABW,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.592123,,,
ABW,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.594324,,,
ABW,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.597233,,,
ABW,1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.600755,,,
ABW,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.604791,,,
ABW,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.609244,,,
ABW,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.614017,,,
ABW,1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.619013,,,
ABW,1970,,,,,,,,,,,,,,12184.8,,,,,,,,,,,,,,,,,0.624135,,,
ABW,1971,,,,,,,,,,,,,,13276.6,,,,,,,,,,,,,,,,,0.629284,,,
ABW,1972,,,,,,,,,,,,,,14368.7,,,,,,,,,,,,,,,,,0.634365,,,
ABW,1973,,,,,,,,,,,,,,15249.7,,,,,,,,,,,,,,,,,0.639279,,,
ABW,1974,,,,,,,,,,,,,,15932.4,,,,,,,,,,,,,,,,,0.64393,,,
ABW,1975,,,,,,,,,,,,,,16881.2,,,,,,,,,,,,,,,,,0.648221,,,
ABW,1976,,,,,,,,,,,,,,17810.9,,,,,,,,,,,,,,,,,0.652053,,,
ABW,1977,,,,,,,,,,,,,,18883.4,,,,,,,,,,,,,,,,,0.655331,,,
ABW,1978,,,,,,,,,,,,,,20137,,,,,,,,,,,,,,,,,0.657955,,,
ABW,1979,,,,,,,,,,,,,,21285.9,,,,,,,,,,,,,,,,,0.659831,,,
ABW,1980,0.2375,0.5594,0.3587,0.0819,,,,0.6852,,3759.13,545101,128369,22949.5,22245.8,145.007,0.1638,0,,,,,,,,,,,,,,0.660859,,,
ABW,1981,0.2364,0.5593,0.359,0.0816,,,,0.6854,,3994.55,578717,136902,24476.4,23480.3,144.877,0.1632,0,,,,,,,,,,,,,,0.660991,,,
ABW,1982,0.2353,0.5593,0.3594,0.0813,,,,0.6857,,4237.79,613348,145766,26062.6,24623.4,144.733,0.1626,0,,,,,,,,,,,,,,0.660706,,,
ABW,1983,0.2342,0.5593,0.3597,0.081,,,,0.6859,,4482.53,648068,154746,27670,27006.1,144.576,0.162,0,,,,,,,,,,,,,,0.660149,,,
ABW,1984,0.2331,0.5592,0.3601,0.0807,,,,0.6861,,4752.27,686255,164657,29444,28505.2,144.406,0.1614,0,,,,,,,,,,,,,,0.659394,,,
ABW,1985,0.2319,0.5592,0.3605,0.0803,,,,0.6863,,5030.44,726400,175152,31322.8,30297.7,144.401,0.1606,0,,,,,,,,,,,,,,0.658504,,,
ABW,1986,0.2307,0.5592,0.3609,0.08,,,,0.6866,,5359.54,772859,187300,33497.1,33255,144.203,0.16,0,,,,,,,,,,,,,,0.657547,,,
ABW,1987,0.2295,0.5591,0.3612,0.0796,,,,0.6868,,6111.55,881108,214641,38389.1,37488.3,144.171,0.1592,0,,,,,,,,,,,,,,0.656585,,,
ABW,1988,0.2283,0.5591,0.3616,0.0793,,,,0.6871,,7173.04,1.03251e+06,252860,45227.3,44293.8,143.943,0.1586,0,,,,,,,,,,,,,,0.655685,,,
ABW,1989,0.2271,0.5592,0.3621,0.0786,,,,0.6877,,7901.39,1.14154e+06,281084,50263.3,49602,144.473,0.1572,0,,,,,,,,,,,,,,0.654911,,,
ABW,1990,0.2258,0.5592,0.3625,0.0783,,,,0.6879,,8091.43,1.16687e+06,288925,51669.4,51009.4,144.211,0.1566,0,,,,,,,,,,,,,,0.654328,,,
ABW,1991,0.2257,0.558,0.3631,0.0789,,,,0.6868,,8788.56,1.25677e+06,310774,55694.3,55402,143,0.1578,0,,,,,,,,,,,,,,0.654009,1.43487,40605.8,0.451859
ABW,1992,0.2255,0.557,0.3637,0.0793,,,,0.6859,,9200.71,1.3084e+06,323121,58012.1,57295.1,142.207,0.1586,0,,,,,,,,,,,,,,0.653906,1.43158,40624.7,0.452895
