iso3,year,debt_gdp,debt_gdp_gen,debt_gdp_cgov,gov_rev_gdp,gov_exp_gdp,gov_tax_gdp,gov_balance_gdp,ca_gdp,ltrate,strate,cbrate,infl,reer,usdfx,ngdp_usd,crisis_bank,crisis_currency,crisis_sovdebt,ext_debt_gni,debt_service_gni,debt_service_exports,st_debt_reserves,reserves_months,reserves_usd,fdi_in_gdp,credit_priv_gdp,interest_rev,debt_gdp_cgov_wdi,real_rate_wdi,ca_gdp_wdi,g_real_wdi,debt_gdp_hpdd,lv_output_loss,lv_fiscal_cost,lv_peak_npl,lv_debt_increase,lv_bank_onset,lv_bank_active,credit_gdp_jst,debt_gdp_jst,ltrate_jst,stir_jst,crisis_jst,g_real,r_real_lt,r_minus_g,implicit_rate,r_minus_g_eff,fx_depr,debt_gdp_change,crisis_any,crisis_twin
ABW,1970,,,,,,,,,,,,,,1.79,197.624,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,
ABW,1971,,,,,,,,,,,,,,1.79,208.159,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0.0908847,,,,,0,,,
ABW,1972,,,,,,,,,,,,,,1.79,219.256,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0.0908848,,,,,0,,,
ABW,1973,,,,,,,,,,,,,,1.79,230.944,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0.0908848,,,,,0,,,
ABW,1974,,,,,,,,,,,,,,1.79,243.255,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0.0908848,,,,,0,,,
ABW,1975,,,,,,,,,,,,,,1.79,256.222,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0.0908848,,,,,0,,,
ABW,1976,,,,,,,,,,,,,,1.79,269.881,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0.0908848,,,,,0,,,
ABW,1977,,,,,,,,,,,,,,1.79,284.268,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0.0908848,,,,,0,,,
ABW,1978,,,,,,,,,,,,,,1.79,299.422,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0.0908848,,,,,0,,,
ABW,1979,,,,,,,,,,,,,,1.79,315.383,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0.0908848,,,,,0,,,
ABW,1980,,,,,,,,,,,,,,1.79,332.196,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0.0908849,,,,,0,,,
ABW,1981,,,,,,,,,,,,,,1.79,349.904,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0.0908847,,,,,0,,,
ABW,1982,,,,,,,,,,,,,,1.79,368.557,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0.0908848,,,,,0,,,
ABW,1983,,,,,,,,,,,,,,1.79,388.204,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0.0908848,,,,,0,,,
ABW,1984,,,,,,,,,,,,,,1.79,408.899,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0.0908848,,,,,0,,,
ABW,1985,,,,,,,,,,,,0.0403226,,1.79,430.697,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0.0908848,,,,,0,,,
ABW,1986,,,,,,,,-0.0460055,,,0.095,0.0107397,,1.79,453.656,,,,,,,,4.92519,1.1272e+08,0,0.394643,,,,-0.0460055,,,,,,,0,0,,,,,,0.0908848,,,,,0,,,
ABW,1987,,,,,,,,-0.0462772,,,0.095,0.0364304,,1.79,545.558,,,,,,,,4.57066,1.2714e+08,0.0022306,0.394419,,,0.0647543,-0.0462772,0.160784,,,,,,0,0,,,,,,0.160784,,,,,0,,,
ABW,1988,,,,,,,,-0.0742509,,,0.095,0.0312187,,1.79,667.313,,,,,,,,3.3845,1.31945e+08,0.0205549,0.437757,,,0.0691818,-0.0742509,0.186486,,,,,,0,0,,,,,,0.186487,,,,,0,,,
ABW,1989,,,,,,,,-0.0671486,,,0.095,0.0399163,,1.79,777.947,,,,,,,,2.92182,1.2717e+08,0.0018691,0.433564,,,0.0626423,-0.0671486,0.121298,,,,,,0,0,,,,,,0.121298,,,,,0,,,
ABW,1990,,,,,,,,-0.206793,,,0.095,0.0583669,,1.79,855.8,,,,,,,,2.2174,1.3643e+08,0.170635,0.444888,,,0.0456664,-0.206793,0.039614,,,,,,0,0,,,,,,0.0396141,,,,,0,,,
ABW,1991,,,,,,,,-0.240231,,,0.095,0.0555556,,1.79,975.8,,,,,,,,1.17955,1.5495e+08,0.211851,0.442259,,,0.0479113,-0.240231,0.0796287,,,,,,0,0,,,,,,0.0796287,,,,,0,,,
ABW,1992,,,,,,,,0.0456877,,,0.095,0.0387337,,1.79,1072.38,,,,,,,,1.29288,1.75435e+08,-0.0385781,0.432829,,,0.0652814,0.0456876,0.0588235,,,,,,0,0,,,,,,0.0588236,,,,,0,,,
ABW,1993,,,,,,,,0.038525,,,0.095,0.0521556,,1.79,1211.7,,,,,,,,1.5192,2.20305e+08,-0.0165549,0.409022,,,0.0503293,0.038525,0.0730769,,,,,,0,0,,,,,,0.073077,,,,,0,,,
ABW,1994,,,,,,,,0.0650673,,,0.095,0.0631108,,1.79,1393.88,,,,,,,,1.3943,2.15915e+08,-0.0587444,0.424449,,,0.0405693,0.0650673,0.082039,,,,,,0,0,,,,,,0.082039,,,,,0,,,
ABW,1995,0.55095,0.55095,,0.25498,0.26332,,-0.00834,-0.000211506,,,0.095,0.0336139,,1.79,1383.93,,,,,,,,1.50018,2.55345e+08,-0.0041878,0.430618,,,0.0698825,-0.0002115,0.0254714,,,,,,0,0,,,,,,0.0250674,,,,,0,,,
ABW,1996,0.54771,0.54771,,0.25114,0.27458,,-0.02343,-0.050081,,,0.095,0.032,,1.79,1445.99,,,,,,,,1.04027,2.24545e+08,0.0616194,0.454161,,,0.0689091,-0.050081,0.0118579,,,,,,0,0,,,,,,0.0124509,,,,,0,-0.00324,,
ABW,1997,0.51068,0.51068,,0.22887,0.24989,,-0.02102,-0.127826,,,0.095,0.02996,,1.79,1605.22,,,,,,,,0.87865,2.0135e+08,0.129139,0.432338,,,0.0631195,-0.127826,0.0704687,,,,,,0,0,,,,,,0.0781443,,,,,0,-0.03703,,
ABW,1998,0.41039,0.41039,,0.21688,0.21574,,0.00114,-0.0112714,,,0.095,0.01875,,1.79,1745.14,,,,,,,,1.42641,2.5097e+08,0.0681315,0.418701,,,0.0417356,-0.0112714,0.0199198,,,,,,0,0,,,,,,0.0666662,,,,,0,-0.10029,,
ABW,1999,0.39288,0.39288,,0.22884,0.22798,,0.00086,-0.252779,,,0.065,0.02277,,1.79,1805.32,,,,,,,,1.7875,2.48935e+08,0.271368,0.446205,,,0.107169,-0.252779,0.0123804,,,,,,0,0,,,,,,0.0115447,,,,,0,-0.01751,,
ABW,2000,0.38613,0.38613,,0.22251,0.21606,,0.00645,0.110569,,,0.065,0.04049,,1.79,1873.45,,,,,,,,1.78503,2.35455e+08,-0.0682873,0.447997,,,0.109175,0.110569,0.0762292,,,,,,0,0,,,,,,0.0451407,,,,,0,-0.00675,,
ABW,2001,0.44326,0.44326,,0.21673,0.22508,,-0.00835,0.162809,,,0.065,0.0289,,1.79,1896.46,,,,,,,,2.27534,3.21361e+08,-0.140751,0.465928,,,0.158859,0.162809,0.04182,,,,,,0,0,,,,,,-0.00364699,,,,,0,0.05713,,
ABW,2002,0.47079,0.47079,,0.21491,0.2466,,-0.03169,-0.173435,,,0.065,0.0332,,1.79,1961.84,,,,,,,,2.55812,3.74003e+08,0.169491,0.507912,,,0.0657379,-0.173435,-0.0094495,,,,,,0,0,,,,,,-0.0216446,,,,,0,0.02753,,
ABW,2003,0.40848,0.40848,,0.27032,0.25136,,0.01896,-0.0809902,,,0.05,0.0366,,1.79,2044.11,,,,,,,,2.15484,3.36946e+08,0.0781643,0.550125,,,0.0742458,-0.0809902,0.011105,,,,,,0,0,,,,,,0.00465286,,,,,0,-0.06231,,
ABW,2004,0.42543,0.42543,,0.20714,0.29245,,-0.08531,0.120137,,,0.05,0.0253,,1.79,2254.83,,,,,,,,0.93702,3.39224e+08,-0.0468764,0.517852,,,0.0660451,0.120137,0.0729373,,,,,,0,0,,,,,,0.0751948,,,,,0,0.01695,,
ABW,2005,0.45093,0.45093,,0.2152,0.24477,,-0.02957,0.0444757,,,0.05,0.034,,1.79,2360.02,,,,,,,,0.70499,3.24813e+08,-0.0880494,0.540607,,,0.0564637,0.0444757,-0.0038314,,,,,,0,0,,,,,,0.0117668,,,,,0,0.0255,,
ABW,2006,0.45518,0.45518,,0.22285,0.24827,,-0.02541,0.125742,,,0.05,0.0361,,1.79,2469.78,,,,,,,,0.85287,4.0139e+08,0.0892047,0.538841,,,0.0581311,0.125742,0.0112741,,,,,,0,0,,,,,,0.00258074,,,,,0,0.00425,,
ABW,2007,0.44558,0.44558,,0.21574,0.2262,,-0.01046,0.0964536,,,0.05,0.0539,,1.79,2677.64,,,,,,,,0.85574,4.55457e+08,-0.175903,0.517273,,,0.04976,0.0964536,0.0308954,,,,,,0,0,,,,,,0.0280944,,,,,0,-0.0096,,
ABW,2008,0.4031,0.4031,,0.26825,0.25359,,0.01466,3.93e-05,,,0.05,0.0896,,1.79,2843.02,,,,,,,,1.18599,6.91874e+08,0.0066418,0.506585,,,0.0598255,3.93e-05,0.0183576,,,,,,0,0,,,,,,-0.0233565,,,,,0,-0.04248,,
ABW,2009,0.48785,0.48785,,0.24257,0.26888,,-0.02631,0.0672239,,,0.03,-0.0214,,1.79,2553.79,,,,,,,,2.50265,6.8697e+08,-0.0041564,0.55893,,,0.0884605,0.0672239,-0.116777,,,,,,0,0,,,,,,-0.0854197,,,,,0,0.08475,,
ABW,2010,0.54662,0.54662,,0.26957,0.30443,,-0.03487,-0.187525,,,0.01,0.0208,,1.79,2453.6,,,,,,,,3.76355,7.08714e+08,0.0761167,0.588007,,,0.116661,-0.187525,-0.0273346,,,,,,0,0,,,,,,-0.0325968,,,,,0,0.05877,,
ABW,2011,0.59347,0.59347,,0.2077,0.27199,,-0.06429,-0.0987766,,,0.01,0.0432,,1.79,2637.86,,,,,,,,1.17472,6.89776e+08,0.185058,0.562504,,,0.0480197,-0.0987766,0.0336924,,,,,,0,0,,,,,,0.00341593,,,,,0,0.04685,,
ABW,2012,0.65533,0.65533,,0.21806,0.30761,,-0.08955,0.0347345,,,0.01,0.0063,,1.79,2615.21,,,,,,,,3.05345,7.68622e+08,-0.120332,0.586859,,,0.0820088,0.0347345,-0.010408,,,,,,0,0,,,,,,-0.0136985,,,,,0,0.06186,,
ABW,2013,0.70032,0.70032,,0.23406,0.29454,,-0.06048,-0.118132,,,0.01,-0.0237,,1.79,2727.85,,,,,,,,3.18146,6.53171e+08,0.0997446,0.591637,,,0.107097,-0.118132,0.0643146,,,,,,0,0,,,,,,0.0419822,,,,,0,0.04499,,
ABW,2014,0.77709,0.77709,,0.22376,0.29834,,-0.07459,-0.0465858,,,0.01,0.0042,,1.79,2790.85,,,,,,,,3.39214,6.80351e+08,0.0746525,0.602405,,,0.0637347,-0.0465858,0.014261,,,,,,0,0,,,,,,0.00272537,,,,,0,0.07677,,
ABW,2015,0.74177,0.74177,,0.23898,0.25373,,-0.01475,0.0399414,,,0.01,0.0048,,1.79,2962.91,,,,,,,,4.24241,8.15801e+08,-0.0090726,0.566269,,,0.0442636,0.0399414,0.0361148,,,,,,0,0,,,,,,0.0572264,,,,,0,-0.03532,,
ABW,2016,0.75387,0.75387,,0.23664,0.25119,,-0.01455,0.0473177,,,0.01,-0.0089,,1.79,2983.64,,,,,,,,5.03557,9.22551e+08,0.009234,0.572219,,,0.0746758,0.0473177,0.0123434,,,,,,0,0,,,,,,0.0206034,,,,,0,0.0121,,
ABW,2017,0.75825,0.75825,,0.21971,0.24558,,-0.02587,0.011198,,,0.01,-0.00474,,1.79,3092.43,,,,,,,,4.80169,9.07111e+08,0.0525338,0.572465,,,0.0614328,0.011198,0.0349343,,,,,,0,0,,,,,,0.0196999,,,,,0,0.00438,,
ABW,2018,0.7331,0.7331,,0.22222,0.24863,,-0.02641,-0.00591367,,,0.01,0.0358,,1.79,3276.18,,,,,,,,4.61717,9.80248e+08,0.0439982,0.559651,,,0.0326873,-0.0059137,0.0321247,,,,,,0,0,,,,,,0.00908522,,,,,0,-0.02515,,
ABW,2019,0.71053,0.71053,,0.23445,0.23688,,-0.00243,0.025338,,,0.01,0.04257,,1.79,3395.8,,,,,,,,4.73765,9.823e+08,-0.0224783,0.596494,,,0.0474305,0.025338,0.0122511,,,,,,0,0,,,,,,-0.00700442,,,,,0,-0.02257,,
ABW,2020,1.12339,1.12339,,0.24007,0.40237,,-0.1623,-0.128046,,,0.01,0.01222,,1.79,2481.86,,,,,,,,8.12876,1.21258e+09,0.0651719,0.82094,,,0.100596,-0.128046,-0.23898,,,,,,0,0,,,,,,-0.23898,,,,,0,0.41286,,
ABW,2021,1.01816,1.01816,,0.19698,0.28859,,-0.09161,0.0275112,,,,0.00744,,1.79,2929.45,,,,,,,,8.60891,1.51296e+09,0.0463553,0.68646,,,0.047222,0.0275112,0.147306,,,,,,0,0,,,,,,0.147306,,,,,0,-0.10523,,
ABW,2022,0.90079,0.90079,,0.21214,0.21679,,-0.00465,0.0693602,,,,0.0552,,1.79,3279.34,,,,,,,,6.97828,1.54394e+09,0.0746533,0.605316,,,0.0173646,0.0693602,0.106364,,,,,,0,0,,,,,,0.106364,,,,,0,-0.11737,,
ABW,2023,0.786806,0.786806,,0.242774,0.216974,,0.0257996,0.0507202,,,,0.03366,,1.79,3648.57,,,,,,,,5.82381,1.46815e+09,-0.0358459,0.567119,,,-0.0122215,0.0507202,0.077068,,,,,,0,0,,,,,,0.077068,,,,,0,-0.113984,,
ABW,2024,0.708876,0.708876,,0.23598,0.21248,,0.0235,0.06223,,,,0.0230949,,1.79,4058.57,,,,,,,,,1.90225e+09,0.0242051,,,,,,0.0681078,,,,,,0,0,,,,,,0.0681078,,,,,0,-0.0779296,,
AFG,1955,,,,,,,,,,,,,,14.4451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,1956,,,,,,,,,,,,,,17.1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.174353,,,
AFG,1957,,,,,,,,,,,,,,17.1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
AFG,1958,,,,,,,,,,,,,,17.1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
AFG,1959,,,,,,,,,,,,,,17.1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
AFG,1960,,,,,,,,,,,,,,17.1966,1.40726,,,,,,,,,5.06908e+07,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
AFG,1961,,,,,,,,,,,,,,17.1966,1.43633,,,,,,,,,4.24445e+07,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
AFG,1962,,,,,,,,,,,,,,17.1966,1.43052,,,,,,,,,4.05921e+07,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
AFG,1963,,,,,,,,,,,,,,35.1097,0.962699,,,,,,,,,4.55478e+07,,,,,,,,,,,,,,,,,,,,,,,,,0.713767,,,
