year,us_ltrate,us_strate,us_policy_rate,us_infl,us_real_ltrate,us_real_strate,us_reer,us_debt_gdp,share_bank_onset,share_bank_onset_gdpw,share_currency_onset,share_currency_onset_gdpw,share_sovdebt_onset,share_sovdebt_onset_gdpw,share_bank_active_lv,share_bank_active_lv_gdpw,world_debt_gdp_gdpw,world_debt_gdp_median,world_r_minus_g_median,world_r_minus_g_eff_median,n_countries_debt,usd_index_major,usd_index_broad
1950,0.0218,0.0121833,0.0175,0.0108505,0.0108319,0.00131848,,0.874469,0,0,0.185714,0.124573,0,0,,,0.736334,0.200441,,,44,,
1951,0.0251,0.015525,0.0175,0.0786011,-0.0496023,-0.0584796,,0.751754,0,0,0.0571429,0.0216193,0.0149254,0.0110035,,,0.631736,0.161287,-0.114088,,45,,
1952,0.0252,0.017675,0.0175,0.0227929,0.00235342,-0.00500389,,0.722543,0,0,0.0142857,0,0,0,,,0.598669,0.176293,-0.0383669,,46,,
1953,0.0285222,0.0194,0.02,0.0081607,0.0201967,0.0111483,,0.700368,0,0,0.0142857,0,0,0,,,0.586433,0.175656,-0.0389258,,48,,
1954,0.0240167,0.0095,0.0144,0.00311333,0.0208385,0.00636685,,0.711778,0,0,0.0571429,0.0173753,0,0,,,0.588077,0.176744,-0.0326355,,47,,
1955,0.0281667,0.0174667,0.025,-0.0027933,0.0310467,0.0203167,,0.660821,0,0,0.0285714,0.0375379,0,0,,,0.555639,0.169535,-0.021156,,48,,
1956,0.031825,0.0265917,0.03,0.0152505,0.0163255,0.0111708,,0.622716,0,0,0.0428571,0.0013446,0.0447761,0.0203616,,,0.525375,0.176549,-0.0244618,,46,,
1957,0.036475,0.0326417,0.03,0.0334151,0.00296098,-0.000748402,,0.586188,0,0,0.114286,0.0927066,0,0,,,0.493282,0.186909,-0.0180943,,47,,
1958,0.0331583,0.0183833,0.0238,0.0272916,0.00571087,-0.00867161,,0.5906,0,0,0.0714286,0.0177468,0.0149254,0.0308578,,,0.496616,0.203259,-0.00180421,,45,,
1959,0.0433333,0.0341333,0.04,0.0101068,0.032894,0.0237861,,0.561104,0,0,0.0571429,0.0199385,0,0,,,0.476015,0.190031,-0.014121,,46,,
1960,0.0411667,0.0294667,0.03,0.0145798,0.0262048,0.014673,138.848,0.617242,0,0,0.0428571,0.00185604,0,0,,,0.499094,0.198773,-0.0442839,,47,,
1961,0.038825,0.0237583,0.025,0.0107036,0.0278236,0.0129165,141.491,0.622511,0,0,0.0142857,0.00817948,0.0298507,0.0117596,,,0.494037,0.19104,-0.0221957,,48,,
1962,0.0394583,0.0277833,0.03,0.0117608,0.0273756,0.0158363,141.726,0.601611,0,0,0.114286,0.068813,0.0149254,0.000392945,,,0.466601,0.196751,-0.0315664,,48,,
1963,0.040025,0.0315667,0.0325,0.0125606,0.0271237,0.0187703,139.255,0.588083,0,0,0.0714286,0.015223,0.0298507,0.00920955,,,0.45212,0.20404,-0.0319088,,51,,
1964,0.0418667,0.035525,0.04,0.0132209,0.028272,0.0220131,138.834,0.567002,0,0,0.0142857,5.00147e-14,0,0,,,0.427907,0.197213,-0.0469549,,54,,
1965,0.042825,0.0394833,0.0463,0.0157869,0.0266179,0.0233281,135.759,0.537099,0.0135135,0.00118639,0.0285714,0.000478721,0.0447761,0.00423821,,,0.410097,0.179296,-0.0266845,,56,,
1966,0.0492333,0.0488167,0.05,0.0298938,0.0187782,0.0183737,135.031,0.506481,0,0,0.0285714,0.00471629,0.0298507,0.00531251,,,0.394307,0.187513,-0.0284112,,56,,
1967,0.0507333,0.0433167,0.045,0.0278455,0.0222678,0.015052,134.541,0.504419,0,0,0.171429,0.130675,0,0,,,0.392688,0.182466,-0.0256916,,55,,
1968,0.0564583,0.0534667,0.04,0.0424469,0.0134409,0.010571,137.112,0.484827,0,0,0.0714286,0.0221564,0.0149254,0.000232742,,,0.380959,0.184289,-0.0287573,,58,,
1969,0.0667083,0.0668833,0.05,0.0543713,0.0117009,0.0118669,139.014,0.459137,0,0,0.0142857,0.359996,0.0298507,0.0234529,,,0.36115,0.213303,-0.038004,,58,,
1970,0.0734833,0.0643667,0.03,0.0588369,0.0138326,0.00522249,139.89,0.463631,0,0,0,0,0,0,0,0,0.358874,0.191269,-0.0263064,,106,,
