year,cinc_share_usa,cinc_share_rus,cinc_share_chn,cinc_top1_iso,cinc_top1_share,cinc_top2_share,cinc_lead_ratio,cinc_hhi,cinc_con,chn_usa_cinc_ratio,n_poles_10pct,gdp_share_usa,gdp_share_chn,gdp_share_rus,chn_usa_gdp_ratio,cold_war,bipolar,n_states,share_democracies_row,mean_polyarchy,coups_world,coups_success_world,dem_transitions_world,dem_breakdowns_world,mid_onsets_world,states_in_interstate_conflict,states_sanctioned,n_major_powers,mean_oda_gni
1946,0.3627007780866819,0.1221076364929282,0.13224109260774322,USA,0.3627007780866819,0.13224109260774322,2.742723694536719,0.1805237284089942,0.40977603779839045,0.3646010722815128,4.0,0.3145547868301074,0.06369832479790943,0.08220024346559793,0.2025031169921862,0,0,151,0.11258278145695365,0.19727586206896552,,,5.0,0.0,18.0,4,0,4,
1947,0.3089785021019957,0.1447660568040612,0.1188492622599269,USA,0.3089785021019957,0.1447660568040612,2.1343297518989113,0.14534611027181052,0.364129210675156,0.3846522054168482,3.0,0.3017976465804531,0.062224993784067144,0.08594922787425018,0.20618117632497582,1,1,153,0.12418300653594772,0.2144013605442177,,,2.0,0.0,10.0,0,0,4,
1948,0.2938915264979091,0.16357201556027318,0.11475528270838538,USA,0.2938915264979091,0.16357201556027318,1.796710308247169,0.13868810981758845,0.35574844544247497,0.39046815699601944,3.0,0.2963162305918565,0.05964600848070837,0.0881841490294159,0.20129173606714876,1,1,155,0.13548387096774195,0.22134228187919466,,,2.0,0.0,23.0,8,0,4,
1949,0.2722037744061837,0.16732620961979214,0.10368373648364108,USA,0.2722037744061837,0.16732620961979214,1.6267850387856162,0.12523407511310733,0.33676833872261086,0.38090484494503646,3.0,0.28355680435379493,0.0574211367259872,0.0935421812744077,0.20250311699218693,1,1,155,0.14838709677419354,0.22945333333333331,,,1.0,0.0,35.0,10,1,4,
1950,0.2838466384248686,0.1802197956456858,0.11824687507212907,USA,0.2838466384248686,0.1802197956456858,1.5750025540086305,0.13682445098723378,0.3537794744485826,0.4165871955655654,3.0,0.27282329544570355,0.05286937856642868,0.09509004798572165,0.19378615920630055,1,1,155,0.15483870967741936,0.23742953020134225,2.0,1.0,1.0,0.0,46.0,4,8,5,
1951,0.31873597292405115,0.17274908393000324,0.10337680544045437,USA,0.31873597292405115,0.17274908393000324,1.8450805392010114,0.1512714218863422,0.37410565465497414,0.3243336624105718,3.0,0.27676442529906153,0.052834621928491615,0.09314586396336119,0.19090105916394584,1,1,156,0.15384615384615385,0.24104,6.0,4.0,0.0,0.0,40.0,4,11,5,
1952,0.31076875634317547,0.1698713205851766,0.09621267429908704,USA,0.31076875634317547,0.1698713205851766,1.8294362772516997,0.14427990506234223,0.3647196596414183,0.3095957117157601,2.0,0.2745545116715209,0.05411707885744396,0.09230975524556316,0.1971086853680629,1,1,156,0.16666666666666666,0.24727333333333334,5.0,3.0,2.0,0.0,28.0,4,9,5,
1953,0.31047828965059615,0.17274249555892762,0.09489241704587853,USA,0.31047828965059615,0.17274249555892762,1.797347483293031,0.14455661448745305,0.3654988257112005,0.3056330191481919,2.0,0.27515964330058007,0.05478143999270979,0.09223608674212588,0.19908966058975228,1,1,156,0.16666666666666666,0.2508,3.0,2.0,0.0,0.0,44.0,2,9,5,
1954,0.2796951536805444,0.18371001804591316,0.09393914642907404,USA,0.2796951536805444,0.18371001804591316,1.5224817713024361,0.1304158101971879,0.3459482662417485,0.3358626175424092,2.0,0.2644555671007869,0.05501870668281245,0.09479088443700716,0.2080451823570204,1,1,157,0.16560509554140126,0.25157333333333337,6.0,4.0,0.0,0.0,37.0,2,13,5,
1955,0.26524020075160853,0.1783704929935881,0.09093857522533261,USA,0.26524020075160853,0.1783704929935881,1.4870183756297806,0.12037360105093874,0.3313241503872993,0.34285366610204965,2.0,0.260849058257063,0.05481379627855869,0.096538502574284,0.210136071200765,1,1,157,0.17197452229299362,0.25462666666666667,7.0,3.0,1.0,0.0,46.0,0,11,5,
