iso3,recurso,q_1950_twh,q_2019_twh,reservas_twh,urr_proxy_twh,x_1950_proxy,x_2019_proxy,r_linealizacion,urr_linealizacion_twh,r2_linealizacion,r_condicional_urr_proxy,anio_pico_produccion,prod_pico_twh
AGO,oil,0.0,22543.106,12346.421956,34889.527956,0.0,0.646128145626666,0.09229056632051298,45366.2763812301,0.6191743491533171,0.10208361463593811,2008,1073.34
ALB,oil,28.538,1000.655,,,,,0.12385632887900042,966.537275294961,0.8242239053948122,,1983,50.629
ARE,oil,0.0,65612.612,155143.2696,220755.8816,0.0,0.29721795643428056,0.0603181157323375,127143.45309380612,0.7192577516592622,0.051801002047870415,2016,2112.09
ARG,oil,758.752,20550.575,3938.4023197200004,24488.97731972,0.030983408988214754,0.8391765295748564,0.060250046426053895,28700.37684214356,0.8411163037356357,0.07751343615972094,1998,512.046
AUS,oil,0.0,13961.468,3791.8728328800003,17753.34083288,0.0,0.7864135618994439,0.09789102568919797,15391.220180600816,0.9439333850416541,0.07992325246229734,2000,431.377
AUT,oil,122.387,1538.241,,,,,0.09154654778591514,1469.2834973588206,0.8341659072170651,,1955,42.636
AZE,oil,196.54888596433756,12840.037669556192,11104.324,23944.361669556194,0.008208566537576048,0.5362447262848323,,,,0.07427318802605688,2010,591.946
BHR,oil,192.243,2280.859,,,,,0.06829729959911665,2399.6119733308497,0.787818614477115,,1970,44.485
BLR,oil,46.31225160566388,1511.2649269116425,,,,,0.09297274899928731,1558.8861434611276,0.9427294410303784,,1988,37.541081494961794
BOL,oil,8.328,1311.358,,,,,0.04891359817704593,2667.0019125589447,0.22512290556180142,,2016,40.733
BRA,oil,1.478,34146.872,20169.5768472,54316.44884720001,2.7210909979734257e-05,0.6286653992432397,0.0795769905443306,92503.62698131763,0.7318964395785037,0.09276353094714943,2019,1758.446
BRN,oil,228.076,6297.764,1744.9652,8042.7292,0.028358035478802394,0.783038175648137,0.07212832192163832,6939.733898660225,0.8112953163136324,0.05541638964661079,1979,148.175
CAN,oil,265.967,80089.105,268288.25673012,348377.36173011997,0.0007634451293825418,0.22989181789040358,0.04820658595592,226150.98975607706,0.4468180826803295,0.04458496823847161,2019,3063.658
CHL,oil,1.035,827.6610000000001,,,,,0.09770099858655093,847.2605361346664,0.7836540939819306,,1982,31.054
CHN,oil,55.778,85089.841,41185.55699632,126275.39799632001,0.0004417170793761863,0.6738433800262481,0.08087245686480264,115102.77777719384,0.861804382417249,0.07790815848097389,2015,2495.333
CIV,oil,0.0,636.327,,,,,0.0922139561061608,1479.0793956683617,0.1295198555758185,,2006,39.158
CMR,oil,0.0,2701.688,,,,,0.16506263001813057,2551.9658410150187,0.7654937362824336,,1985,117.813
COD,oil,0.0,662.511,,,,,0.12266174220023318,677.8298246653918,0.8223349071812566,,1985,20.772
COG,oil,0.0,5150.419,4571.808824,9722.227824,0.0,0.5297570776201963,0.10003255674696948,6833.52457436602,0.8704517201539096,0.08876503036121661,2019,200.348
COL,oil,815.123,17652.181,3109.21072,20761.39172,0.0392614816479172,0.8502407371368648,0.04047473170048005,230040.5772422028,0.00509003405473817,0.06394124374884905,2013,618.594
CUB,oil,0.768,1005.872,,,,,0.10953835496328843,1384.1293497196323,0.9344743066297141,,2004,39.76
DEU,oil,173.239,3714.239,,,,,0.10062220341244353,3540.6504688800183,0.8293984224251566,,1968,93.761
DNK,oil,0.0,4345.726,678.49005972,5024.21605972,0.0,0.8649560346021797,0.16146183184577995,4780.688655500162,0.9619726021561592,0.15863920771358442,2004,221.638
DZA,oil,0.307,38653.69,19353.2504,58006.94040000001,5.292470140348929e-06,0.6663631926361694,0.06723092555143775,51382.693175435896,0.7266118755088773,0.059652736231522535,2007,1005.786
ECU,oil,76.827,11047.588,2066.2767466,13113.8647466,0.005858456029899099,0.8424357131534608,0.07576460377650804,17395.288819624606,0.8411081835952237,0.10225878122904557,2014,346.923
EGY,oil,258.395,21006.833,4990.600472,25997.433471999997,0.009939250360167245,0.808034878620806,0.10425616607083485,22474.199908098544,0.9179222253878127,0.08443955914488765,1993,552.739
ESP,oil,0.012,525.732,,,,,0.17279537281415952,523.4496115116686,0.8888892050946761,,1983,35.893
FRA,oil,26.308,1582.242,,,,,0.07387962799558398,1749.4220627995119,0.6016953904703617,,1988,47.865
GAB,oil,0.0,6931.561,3172.664,10104.225,0.0,0.6860062003765751,0.07741414524784326,8751.026812497461,0.8311871532350916,0.0673951774451385,1996,212.247
GBR,oil,7.6530000000000005,44977.137,3965.8300000000004,48942.967000000004,0.0001563656735399797,0.9189703803612886,0.13593111844924008,46100.617741487644,0.8650122180432898,0.12095944436751548,1999,1594.461
GHA,oil,0.0,615.991,,,,,,,,,2014,66.744
GNQ,oil,0.0,3165.254,1744.9652,4910.2192,0.0,0.6446258040781561,0.26781577437175286,3321.6063242239893,0.9400541138248352,0.1739229140246391,2007,206.197
HUN,oil,77.703,1564.907,,,,,0.07389054107437557,1716.411445900393,0.9565281787069703,,1982,37.295
IDN,oil,1940.712,42591.381,3940.4010980400003,46531.78209804,0.04170723562469674,0.9153180703516194,0.09228208422722153,44349.49431135966,0.9166289394022135,0.08084229721389789,1977,987.813
