year,petroleo_precio_nominal_usd_bbl,deflactor_eeuu_2019,petroleo_precio_real_usd2019_bbl,jacks_beef,jacks_hides,jacks_lamb,jacks_pork,jacks_coal,jacks_natural_gas,jacks_petroleum,jacks_barley,jacks_corn,jacks_rice,jacks_rye,jacks_wheat,jacks_aluminum,jacks_chromium,jacks_copper,jacks_lead,jacks_manganese,jacks_nickel,jacks_steel,jacks_tin,jacks_zinc,jacks_bauxite,jacks_iron_ore,jacks_phosphate,jacks_potash,jacks_sulfur,jacks_gold,jacks_platinum,jacks_silver,jacks_cocoa,jacks_coffee,jacks_cotton,jacks_cottonseed,jacks_palm_oil,jacks_peanuts,jacks_rubber,jacks_saw_logs,jacks_soybeans,jacks_sugar,jacks_tea,jacks_tobacco,jacks_wool,jacks_indice_vp1975,jacks_indice_vp2019,jacks_indice_igual,jacks_sub_cultivados,jacks_sub_subsuelo,jacks_sub_subsuelo_sin_energia,gycpi_nominal,gycpi_metales_nominal,muv_g5,gycpi_real,gycpi_metales_real,cmo_petroleo_real2010,cmo_carbon_aus_real2010,cmo_gas_eeuu_real2010,cmo_gas_europa_real2010,cmo_cobre_real2010,cmo_hierro_real2010,cmo_aluminio_real2010,cmo_oro_real2010,cmo_estano_real2010,cmo_niquel_real2010,cmo_zinc_real2010,usgs_prod_mundial_aluminio_t,usgs_prod_mundial_bauxita_t,usgs_prod_mundial_cobre_t,usgs_prod_mundial_oro_t,usgs_prod_mundial_hierro_t,usgs_prod_mundial_plomo_t,usgs_prod_mundial_niquel_t,usgs_prod_mundial_fosfato_t,usgs_prod_mundial_plata_t,usgs_prod_mundial_estano_t,usgs_prod_mundial_zinc_t,mundo_oil_prod_twh,mundo_oil_cum_twh,mundo_gas_prod_twh,mundo_gas_cum_twh,mundo_coal_prod_twh,mundo_coal_cum_twh,mundo_gigantes_n,mundo_gigantes_eur_mbep,mundo_gigantes_eur_petroleo_mbep,mundo_gigantes_eur_cum_mbep
1850,,,,76.81,64.52,78.37,55.13,94.97,,,116.84,98.8,124.97,189.66,98.05,,,115.81,138.68,,397.66,58.31,61.75,86.29,,,,,,107.53,,214.4,79.91,138.99,134.81,,117.31,,,101.71,,210.84,191.12,181.27,121.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1851,,,,78.47,77.74,81.92,76.31,108.08,,,126.47,98.94,118.76,205.84,70.05,,,118.31,137.69,,406.25,60.08,66.32,83.36,,,,,,109.85,,219.03,78.67,120.28,111.49,,111.85,,,113.35,,224.01,182.45,202.11,129.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1852,,,,80.21,73.57,81.05,92.36,104.16,,,143.71,106.77,132.18,224.24,68.54,,,133.55,140.16,,401.91,62.09,68.01,94.93,,,,,,108.68,,216.69,63.19,112.38,110.3,,114.61,,,140.17,,196.05,155.16,180.21,144.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1853,,,,100.92,85.27,99.47,84.04,113.5,,,166.83,109.24,160.08,200.92,111.95,,,159.06,189.52,,354.01,67.44,90.42,153.49,,,,,,108.68,,216.69,92.88,115.69,107.06,,146.22,,,149.52,,221.62,193.16,183.08,156.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1854,,,,102.38,90.77,91.53,67.31,128.82,,,166.45,118.18,166.22,146.9,152.6,,,158.79,174.38,,325.74,63.7,85.41,163.24,,,,,,100.0,,199.38,94.58,123.18,86.57,,174.55,,,149.61,,196.08,180.65,169.19,134.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1855,,,,101.76,104.61,87.26,84.3,124.43,,,156.75,135.84,170.64,119.3,178.46,,,154.24,165.86,,292.22,44.28,82.25,130.28,,,,,,97.14,,193.67,91.88,116.69,92.79,,155.42,,,140.32,,220.94,170.5,166.46,128.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1856,,,,96.67,131.02,88.96,86.45,122.91,,,188.18,97.08,133.82,187.65,144.36,,,147.67,179.88,,297.9,43.51,96.97,143.94,,,,,,99.03,,197.44,93.66,129.51,112.33,,151.24,,,136.24,,256.3,168.62,173.91,157.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1857,,,,96.22,159.87,88.06,99.91,135.64,,,187.29,106.94,133.92,177.48,123.68,,,150.12,169.54,,267.33,42.27,94.93,170.08,,,,,,96.33,,192.14,85.81,128.76,126.38,,157.45,,,115.83,,309.41,195.24,172.03,168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1858,,,,99.58,138.1,88.17,80.96,126.41,,,164.13,110.75,104.76,220.69,93.49,,,138.03,164.91,,234.55,44.82,87.87,154.82,,,,,,102.01,,203.38,90.05,128.75,133.98,,144.66,,,114.02,,264.01,196.88,175.44,159.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1859,,,,98.59,139.84,90.72,88.15,120.67,,,156.9,124.31,117.37,183.39,125.3,,,136.66,165.11,,232.22,44.37,99.64,124.34,,,,,,100.99,,201.36,76.42,138.22,120.59,,165.26,,,119.84,,245.55,218.7,169.06,171.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
