year,finanzas__us_ltrate,finanzas__us_strate,finanzas__us_policy_rate,finanzas__us_infl,finanzas__us_real_ltrate,finanzas__us_real_strate,finanzas__us_reer,finanzas__us_debt_gdp,finanzas__share_bank_onset,finanzas__share_bank_onset_gdpw,finanzas__share_currency_onset,finanzas__share_currency_onset_gdpw,finanzas__share_sovdebt_onset,finanzas__share_sovdebt_onset_gdpw,finanzas__share_bank_active_lv,finanzas__share_bank_active_lv_gdpw,finanzas__world_debt_gdp_gdpw,finanzas__world_debt_gdp_median,finanzas__world_r_minus_g_median,finanzas__world_r_minus_g_eff_median,finanzas__n_countries_debt,finanzas__usd_index_major,finanzas__usd_index_broad,recursos__petroleo_precio_nominal_usd_bbl,recursos__deflactor_eeuu_2019,recursos__petroleo_precio_real_usd2019_bbl,recursos__jacks_beef,recursos__jacks_hides,recursos__jacks_lamb,recursos__jacks_pork,recursos__jacks_coal,recursos__jacks_natural_gas,recursos__jacks_petroleum,recursos__jacks_barley,recursos__jacks_corn,recursos__jacks_rice,recursos__jacks_rye,recursos__jacks_wheat,recursos__jacks_aluminum,recursos__jacks_chromium,recursos__jacks_copper,recursos__jacks_lead,recursos__jacks_manganese,recursos__jacks_nickel,recursos__jacks_steel,recursos__jacks_tin,recursos__jacks_zinc,recursos__jacks_bauxite,recursos__jacks_iron_ore,recursos__jacks_phosphate,recursos__jacks_potash,recursos__jacks_sulfur,recursos__jacks_gold,recursos__jacks_platinum,recursos__jacks_silver,recursos__jacks_cocoa,recursos__jacks_coffee,recursos__jacks_cotton,recursos__jacks_cottonseed,recursos__jacks_palm_oil,recursos__jacks_peanuts,recursos__jacks_rubber,recursos__jacks_saw_logs,recursos__jacks_soybeans,recursos__jacks_sugar,recursos__jacks_tea,recursos__jacks_tobacco,recursos__jacks_wool,recursos__jacks_indice_vp1975,recursos__jacks_indice_vp2019,recursos__jacks_indice_igual,recursos__jacks_sub_cultivados,recursos__jacks_sub_subsuelo,recursos__jacks_sub_subsuelo_sin_energia,recursos__gycpi_nominal,recursos__gycpi_metales_nominal,recursos__muv_g5,recursos__gycpi_real,recursos__gycpi_metales_real,recursos__cmo_petroleo_real2010,recursos__cmo_carbon_aus_real2010,recursos__cmo_gas_eeuu_real2010,recursos__cmo_gas_europa_real2010,recursos__cmo_cobre_real2010,recursos__cmo_hierro_real2010,recursos__cmo_aluminio_real2010,recursos__cmo_oro_real2010,recursos__cmo_estano_real2010,recursos__cmo_niquel_real2010,recursos__cmo_zinc_real2010,recursos__usgs_prod_mundial_aluminio_t,recursos__usgs_prod_mundial_bauxita_t,recursos__usgs_prod_mundial_cobre_t,recursos__usgs_prod_mundial_oro_t,recursos__usgs_prod_mundial_hierro_t,recursos__usgs_prod_mundial_plomo_t,recursos__usgs_prod_mundial_niquel_t,recursos__usgs_prod_mundial_fosfato_t,recursos__usgs_prod_mundial_plata_t,recursos__usgs_prod_mundial_estano_t,recursos__usgs_prod_mundial_zinc_t,recursos__mundo_oil_prod_twh,recursos__mundo_oil_cum_twh,recursos__mundo_gas_prod_twh,recursos__mundo_gas_cum_twh,recursos__mundo_coal_prod_twh,recursos__mundo_coal_cum_twh,recursos__mundo_gigantes_n,recursos__mundo_gigantes_eur_mbep,recursos__mundo_gigantes_eur_petroleo_mbep,recursos__mundo_gigantes_eur_cum_mbep,geopolitica__cinc_share_usa,geopolitica__cinc_share_rus,geopolitica__cinc_share_chn,geopolitica__cinc_top1_iso,geopolitica__cinc_top1_share,geopolitica__cinc_top2_share,geopolitica__cinc_lead_ratio,geopolitica__cinc_hhi,geopolitica__cinc_con,geopolitica__chn_usa_cinc_ratio,geopolitica__n_poles_10pct,geopolitica__gdp_share_usa,geopolitica__gdp_share_chn,geopolitica__gdp_share_rus,geopolitica__chn_usa_gdp_ratio,geopolitica__cold_war,geopolitica__bipolar,geopolitica__n_states,geopolitica__share_democracies_row,geopolitica__mean_polyarchy,geopolitica__coups_world,geopolitica__coups_success_world,geopolitica__dem_transitions_world,geopolitica__dem_breakdowns_world,geopolitica__mid_onsets_world,geopolitica__states_in_interstate_conflict,geopolitica__states_sanctioned,geopolitica__n_major_powers,geopolitica__mean_oda_gni,clima__gmst_hadcrut5,clima__gmst_gistemp,clima__gmst_preind,clima__co2_ppm_mlo,clima__co2_ppm_icecore,clima__co2_ppm,clima__co2_mt,clima__co2_pc,clima__co2_per_gdp,clima__co2_incl_luc_mt,clima__co2_luc_mt,clima__co2_coal_mt,clima__co2_oil_mt,clima__co2_gas_mt,clima__co2_cement_mt,clima__co2_flaring_mt,clima__co2_cons_mt,clima__co2_cons_pc,clima__co2_trade_mt,clima__co2_trade_share,clima__co2_cum_mt,clima__co2_cum_incl_luc_mt,clima__co2_cum_luc_mt,clima__co2_share_world,clima__co2_cum_share_world,clima__ch4_mtco2e,clima__n2o_mtco2e,clima__ghg_mtco2e,clima__ghg_excl_lucf_mtco2e,clima__ghg_pc,clima__dT_from_ghg,clima__dT_from_co2,clima__dT_share_world,clima__primary_energy_twh,clima__coal_prod_twh,clima__oil_prod_twh,clima__gas_prod_twh,clima__fossil_cons_twh,clima__fossil_share_energy,clima__fossil_prod_twh,clima__world_dis_n_total,clima__world_dis_n_climate,clima__world_dis_n_flood,clima__world_dis_n_storm,clima__world_dis_n_drought,clima__world_dis_n_extreme_temp,clima__world_dis_n_wildfire,clima__world_dis_n_geo,clima__world_dis_deaths,clima__world_dis_deaths_climate,clima__world_dis_affected,clima__world_dis_damage_kusd,clima__world_dis_damage_climate_kusd,clima__ef_cons_pc_2025ed,clima__biocap_pc_2025ed,clima__overshoot_ratio,clima__lpi,clima__lpi_hi,clima__lpi_lo,clima__material_footprint_t_sum,clima__co2_gtc,clima__co2_cum_incl_luc_gtco2
1850,,,,,,,,,,,,,,,,,,,,,,,,,,,76.81,64.52,78.37,55.13,94.97,,,116.84,98.8,124.97,189.66,98.05,,,115.81,138.68,,397.66,58.31,61.75,86.29,,,,,,107.53,,214.4,79.91,138.99,134.81,,117.31,,,101.71,,210.84,191.12,181.27,121.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4265,,-0.0691431372549019,,284.0,284.0,196.848,0.154,0.127,2910.87,2714.022,196.848,,,,,,,,,4769.853,2910.87,2714.022,100.0,100.0,1239.419,143.746,4293.311,682.352,3.366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0537248908296943,2.91087
1851,,,,,,,,,,,,,,,,,,,,,,,,,,,78.47,77.74,81.92,76.31,108.08,,,126.47,98.94,118.76,205.84,70.05,,,118.31,137.69,,406.25,60.08,66.32,83.36,,,,,,109.85,,219.03,78.67,120.28,111.49,,111.85,,,113.35,,224.01,182.45,202.11,129.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2635,,0.093856862745098,,287.13,287.13,198.779,0.155,,3019.546,2820.767,198.779,,,,,,,,,4968.631,5930.416,5534.79,100.0,100.0,1244.062,146.325,4409.168,685.485,3.448,0.002,0.001,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0542519104803493,5.930416
1852,,,,,,,,,,,,,,,,,,,,,,,,,,,80.21,73.57,81.05,92.36,104.16,,,143.71,106.77,132.18,224.24,68.54,,,133.55,140.16,,401.91,62.09,68.01,94.93,,,,,,108.68,,216.69,63.19,112.38,110.3,,114.61,,,140.17,,196.05,155.16,180.21,144.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2241,,0.133256862745098,,,287.43666666666667,207.595,0.162,,3124.945,2917.35,207.595,,,,,,,,,5176.226,9055.361,8452.14,100.0,100.0,1250.699,148.849,4523.711,697.492,3.531,0.004,0.003,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0566580240174672,9.055361
1853,,,,,,,,,,,,,,,,,,,,,,,,,,,100.92,85.27,99.47,84.04,113.5,,,166.83,109.24,160.08,200.92,111.95,,,159.06,189.52,,354.01,67.44,90.42,153.49,,,,,,108.68,,216.69,92.88,115.69,107.06,,146.22,,,149.52,,221.62,193.16,183.08,156.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2623,,0.095056862745098,,,287.74333333333334,217.237,0.169,,3152.687,2935.45,217.237,,,,,,,,,5393.463,12208.048,11387.59,100.0,100.0,1258.197,151.281,4561.398,711.177,3.556,0.006,0.004,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0592895742358078,12.208048000000002
1854,,,,,,,,,,,,,,,,,,,,,,,,,,,102.38,90.77,91.53,67.31,128.82,,,166.45,118.18,166.22,146.9,152.6,,,158.79,174.38,,325.74,63.7,85.41,163.24,,,,,,100.0,,199.38,94.58,123.18,86.57,,174.55,,,149.61,,196.08,180.65,169.19,134.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2936,,0.063756862745098,,288.05,288.05,255.039,0.199,,3230.597,2975.559,255.039,,,,,,,,,5648.502,15438.646,14363.148,100.0,100.0,1270.693,153.588,4653.988,758.008,3.623,0.008,0.006,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0696067139737991,15.438646
1855,,,,,,,,,,,,,,,,,,,,,,,,,,,101.76,104.61,87.26,84.3,124.43,,,156.75,135.84,170.64,119.3,178.46,,,154.24,165.86,,292.22,44.28,82.25,130.28,,,,,,97.14,,193.67,91.88,116.69,92.79,,155.42,,,140.32,,220.94,170.5,166.46,128.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2914,,0.065956862745098,,285.57,285.57,260.26,0.202,,3288.08,3027.82,260.223,0.037,,,,,,,,5908.762,18726.725,17390.969,100.0,100.0,1277.153,155.733,4720.01,766.209,3.669,0.01,0.007,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0710316593886462,18.726725
1856,,,,,,,,,,,,,,,,,,,,,,,,,,,96.67,131.02,88.96,86.45,122.91,,,188.18,97.08,133.82,187.65,144.36,,,147.67,179.88,,297.9,43.51,96.97,143.94,,,,,,99.03,,197.44,93.66,129.51,112.33,,151.24,,,136.24,,256.3,168.62,173.91,157.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3281,,0.029256862745098,,,284.365,278.246,0.216,,3322.114,3043.868,278.205,0.04,,,,,,,,6187.007,22048.838,20434.838,100.0,100.0,1285.795,157.684,4764.561,789.337,3.698,0.012,0.009,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0759405021834061,22.048838
1857,,,,,,,,,,,,,,,,,,,,,,,,,,,96.22,159.87,88.06,99.91,135.64,,,187.29,106.94,133.92,177.48,123.68,,,150.12,169.54,,267.33,42.27,94.93,170.08,,,,,,96.33,,192.14,85.81,128.76,126.38,,157.45,,,115.83,,309.41,195.24,172.03,168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4659,,-0.1085431372549019,,283.16,283.16,281.181,0.218,,3372.865,3091.683,281.13,0.051,,,,,,,,6468.188,25421.703,23526.52,100.0,100.0,1291.702,159.404,4822.786,794.659,3.737,0.014,0.01,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07674153930131,25.421703
1858,,,,,,,,,,,,,,,,,,,,,,,,,,,99.58,138.1,88.17,80.96,126.41,,,164.13,110.75,104.76,220.69,93.49,,,138.03,164.91,,234.55,44.82,87.87,154.82,,,,,,102.01,,203.38,90.05,128.75,133.98,,144.66,,,114.02,,264.01,196.88,175.44,159.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3968,,-0.0394431372549019,,,284.895,285.548,0.221,,3397.97,3112.421,285.486,0.062,,,,,,,,6753.737,28819.674,26638.941,100.0,100.0,1297.422,160.86,4855.032,801.201,3.756,0.016,0.012,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0779334061135371,28.819674
1859,,,,,,,,,,,,,,,,,,,,,,,,,,,98.59,139.84,90.72,88.15,120.67,,,156.9,124.31,117.37,183.39,125.3,,,136.66,165.11,,232.22,44.37,99.64,124.34,,,,,,100.99,,201.36,76.42,138.22,120.59,,165.26,,,119.84,,245.55,218.7,169.06,171.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.292,,0.065356862745098,,286.63,286.63,302.572,0.234,,3458.485,3155.913,302.517,0.055,,,,,,,,7056.309,32278.158,29794.855,100.0,100.0,1306.546,162.016,4925.749,823.777,3.803,0.018,0.013,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0825796943231441,32.278158
