iso3,year,sector,tipo,participacion_estatal_post,empresas_afectadas,descripcion,confianza,fuente_sugerida
MEX,1938,petroleo,nacionalizacion_total,1.00,"Standard Oil NJ; Royal Dutch Shell (El Aguila)","Expropiacion petrolera de Cardenas; creacion de Pemex",alta,"Kobrin 1984; Guriev et al. 2011; Mahdavi 2020"
BOL,1937,petroleo,nacionalizacion_total,1.00,"Standard Oil","Confiscacion de Standard Oil; YPFB (1936)",alta,"Kobrin 1984; Mahdavi 2020"
BOL,1952,mineria,nacionalizacion_total,1.00,"Patino; Hochschild; Aramayo","Nacionalizacion del estano (Comibol) tras la revolucion de 1952",alta,"Kobrin 1984"
IRN,1951,petroleo,nacionalizacion_total,1.00,"Anglo-Iranian Oil Co. (BP)","Nacionalizacion de Mossadegh (NIOC); revertida de facto por el Consorcio de 1954",alta,"Guriev et al. 2011; Yergin 1991"
IRN,1954,petroleo,reversion_concesion,0.00,"Consorcio (BP, Shell, majors EE.UU., CFP)","Acuerdo del Consorcio: NIOC propietaria nominal, operacion extranjera (reparto 50/50)",alta,"Yergin 1991"
IRN,1973,petroleo,nacionalizacion_total,1.00,"Consorcio","Acuerdo de Compra-Venta: NIOC asume control operativo total",alta,"Guriev et al. 2011; Mahdavi 2020"
EGY,1956,petroleo,nacionalizacion_parcial,0.50,"Activos britanicos y franceses","Secuestro de activos tras la crisis de Suez",media,"Kobrin 1984"
EGY,1962,petroleo,nacionalizacion_parcial,0.50,"Shell (Anglo-Egyptian Oilfields)","Nacionalizaciones socialistas de Nasser (EGPC)",media,"Kobrin 1984"
CUB,1960,petroleo,nacionalizacion_total,1.00,"Texaco; Esso; Shell (refinerias)","Expropiacion de refinerias y activos petroleros extranjeros",alta,"Kobrin 1984"
CUB,1960,mineria,nacionalizacion_total,1.00,"Moa Bay Mining; Nicaro (niquel)","Expropiacion de minas de niquel",alta,"Kobrin 1984"
IRQ,1961,petroleo,cancelacion_concesion,0.00,"Iraq Petroleum Co. (IPC)","Ley 80: revoca 99,5% del area de concesion no explotada de IPC",alta,"Guriev et al. 2011; Yergin 1991"
IRQ,1972,petroleo,nacionalizacion_total,1.00,"Iraq Petroleum Co. (IPC)","Nacionalizacion de IPC (campos de Kirkuk)",alta,"Guriev et al. 2011; Mahdavi 2020"
IRQ,1975,petroleo,nacionalizacion_total,1.00,"Basrah Petroleum Co.","Nacionalizacion completa de las participaciones extranjeras restantes",alta,"Guriev et al. 2011"
MMR,1963,petroleo,nacionalizacion_total,1.00,"Burmah Oil","Nacionalizacion por el gobierno de Ne Win",alta,"Kobrin 1984"
SYR,1964,petroleo,nacionalizacion_total,1.00,"Concesiones extranjeras","Nacionalizacion de concesiones y distribucion",media,"Kobrin 1984"
ARG,1963,petroleo,cancelacion_concesion,0.60,"Contratistas extranjeros de YPF","Gobierno de Illia anula los contratos petroleros de Frondizi",alta,"Guriev et al. 2011"
IDN,1965,petroleo,nacionalizacion_parcial,0.60,"Shell; Caltex; Stanvac","Toma de control/compra de activos extranjeros (Permina/Pertamin); luego contratos de reparto de produccion (1966)",media,"Kobrin 1984; Mahdavi 2020"
COD,1967,mineria,nacionalizacion_total,1.00,"Union Miniere du Haut Katanga","Creacion de Gecamines (cobre, cobalto)",alta,"Kobrin 1984"
PER,1968,petroleo,nacionalizacion_total,1.00,"International Petroleum Co. (Standard Oil NJ)","Expropiacion de La Brea y Parinas por Velasco",alta,"Guriev et al. 2011; Kobrin 1984"
BOL,1969,petroleo,nacionalizacion_total,1.00,"Bolivian Gulf Oil","Nacionalizacion de Gulf por Ovando",alta,"Guriev et al. 2011"
CHL,1967,mineria,participacion_mayoritaria,0.51,"Kennecott; Anaconda","Chilenizacion del cobre (51%) bajo Frei",alta,"Kobrin 1984"
CHL,1971,mineria,nacionalizacion_total,1.00,"Anaconda; Kennecott; Cerro","Nacionalizacion del cobre (reforma constitucional unanime); Codelco 1976",alta,"Kobrin 1984"
ZMB,1969,mineria,participacion_mayoritaria,0.51,"Anglo American; Roan Selection Trust","Reformas de Mulungushi/Matero: 51% estatal en minas de cobre",alta,"Kobrin 1984"
DZA,1971,petroleo,participacion_mayoritaria,0.51,"CFP; ERAP (empresas francesas)","Nacionalizacion del 51% de las concesiones francesas y 100% del gas (Sonatrach)",alta,"Guriev et al. 2011; Mahdavi 2020"
LBY,1971,petroleo,nacionalizacion_total,1.00,"BP","Nacionalizacion de BP por Gadafi",alta,"Guriev et al. 2011"
LBY,1973,petroleo,participacion_mayoritaria,0.51,"Occidental; Oasis; Exxon; Mobil; otros","Toma del 51% de las operaciones restantes; nacionalizacion total de Bunker Hunt, Texaco, Socal, Atlantic Richfield (1973-74)",alta,"Guriev et al. 2011"
GUY,1971,mineria,nacionalizacion_total,1.00,"Demerara Bauxite (Alcan)","Nacionalizacion de la bauxita (Guymine); Reynolds en 1975",alta,"Kobrin 1984"
NGA,1971,petroleo,participacion_parcial,0.35,"Shell-BP; Agip; Safrap","Creacion de NNOC; participacion 35% (ingreso a OPEP)",alta,"Guriev et al. 2011; Mahdavi 2020"
NGA,1974,petroleo,participacion_mayoritaria,0.55,"Shell-BP; Gulf; Mobil; Agip","Participacion estatal eleva a 55%",alta,"Guriev et al. 2011"
NGA,1979,petroleo,participacion_mayoritaria,0.60,"BP","Nacionalizacion de activos de BP; participacion 60%",alta,"Guriev et al. 2011"
ECU,1972,petroleo,participacion_parcial,0.25,"Texaco-Gulf","Creacion de CEPE y renegociacion de concesiones (participacion 25%)",media,"Mahdavi 2020"
ECU,1976,petroleo,participacion_mayoritaria,0.625,"Gulf","CEPE compra participacion de Gulf (62,5% del consorcio)",media,"Guriev et al. 2011"
SAU,1973,petroleo,participacion_parcial,0.25,"Aramco (Exxon, Mobil, Texaco, Socal)","Acuerdo General de Participacion: 25%",alta,"Yergin 1991; Mahdavi 2020"
SAU,1974,petroleo,participacion_mayoritaria,0.60,"Aramco","Participacion estatal 60%",alta,"Yergin 1991"
SAU,1980,petroleo,nacionalizacion_total,1.00,"Aramco","Compra del 100% de Aramco (retroactivo a 1976); Saudi Aramco en 1988",alta,"Yergin 1991; Mahdavi 2020"
KWT,1974,petroleo,participacion_mayoritaria,0.60,"Kuwait Oil Co. (BP, Gulf)","Participacion 60%",alta,"Guriev et al. 2011"
KWT,1975,petroleo,nacionalizacion_total,1.00,"Kuwait Oil Co. (BP, Gulf)","Nacionalizacion completa de KOC",alta,"Guriev et al. 2011"
QAT,1974,petroleo,participacion_mayoritaria,0.60,"Qatar Petroleum Co.; Shell Qatar","Participacion 60%",alta,"Guriev et al. 2011"
QAT,1977,petroleo,nacionalizacion_total,1.00,"Qatar Petroleum Co.; Shell Qatar","Nacionalizacion completa (1976 onshore, 1977 offshore)",alta,"Guriev et al. 2011"
ARE,1974,petroleo,participacion_mayoritaria,0.60,"ADPC/ADMA (BP, CFP, Shell, Exxon, Mobil)","ADNOC adquiere 60% de las concesiones de Abu Dabi",alta,"Mahdavi 2020"
OMN,1974,petroleo,participacion_mayoritaria,0.60,"Petroleum Development Oman (Shell)","Participacion estatal 60% en PDO",alta,"Mahdavi 2020"
BHR,1974,petroleo,participacion_mayoritaria,0.60,"Bapco (Caltex)","Participacion 60% en produccion",media,"Kobrin 1984"
BHR,1980,petroleo,nacionalizacion_total,1.00,"Bapco (Caltex)","Control estatal total de la produccion",media,"Kobrin 1984"
JAM,1974,mineria,participacion_mayoritaria,0.51,"Alcoa; Kaiser; Reynolds; Alcan","Impuesto a la bauxita y compra del 51% de operaciones mineras",alta,"Kobrin 1984"
MRT,1974,mineria,nacionalizacion_total,1.00,"MIFERMA","Nacionalizacion del hierro (SNIM)",alta,"Kobrin 1984"
IND,1974,petroleo,nacionalizacion_total,1.00,"Esso; Burmah-Shell; Caltex","Nacionalizacion de refinacion/distribucion extranjera (1974-76)",alta,"Kobrin 1984"
IND,1973,carbon,nacionalizacion_total,1.00,"Minas de carbon privadas","Nacionalizacion de la mineria del carbon (Coal India 1975); en gran parte capital domestico",alta,"Kobrin 1984"
PER,1974,mineria,nacionalizacion_total,1.00,"Cerro de Pasco Corp.","Nacionalizacion de Cerro de Pasco (Centromin)",alta,"Kobrin 1984"
PER,1975,mineria,nacionalizacion_total,1.00,"Marcona Mining","Nacionalizacion del hierro (Hierroperu)",alta,"Kobrin 1984"
VEN,1975,mineria,nacionalizacion_total,1.00,"US Steel; Bethlehem Steel","Nacionalizacion del hierro",alta,"Kobrin 1984"
VEN,1976,petroleo,nacionalizacion_total,1.00,"Creole (Exxon); Shell; Gulf; Mobil; otros","Nacionalizacion petrolera; creacion de PDVSA",alta,"Guriev et al. 2011; Mahdavi 2020"
AGO,1978,petroleo,participacion_mayoritaria,0.51,"Cabinda Gulf; Petrangol","Sonangol (1976) toma 51% de las concesiones",media,"Mahdavi 2020"
TTO,1974,petroleo,nacionalizacion_parcial,0.50,"Shell Trinidad","Compra de activos de Shell (Trintopec)",baja,"Kobrin 1984"
MYS,1974,petroleo,participacion_mayoritaria,0.70,"Shell; Esso","Ley de Desarrollo Petrolero: Petronas propietaria; contratos de reparto (1976)",media,"Mahdavi 2020"
PER,1985,petroleo,nacionalizacion_total,1.00,"Belco Petroleum","Expropiacion de Belco por Garcia",alta,"Guriev et al. 2011"
RUS,2004,petroleo,nacionalizacion_total,1.00,"Yukos (capital domestico)","Desmantelamiento de Yukos; activos a Rosneft (renacionalizacion domestica)",alta,"Guriev et al. 2011"
RUS,2006,petroleo,participacion_mayoritaria,0.51,"Sakhalin Energy (Shell, Mitsui, Mitsubishi)","Venta forzada del 50%+1 a Gazprom",alta,"Guriev et al. 2011"
BOL,2006,petroleo,nacionalizacion_total,1.00,"Petrobras; Repsol; Total; BG","Decreto Supremo 28701: nacionalizacion de hidrocarburos; YPFB con 51% minimo",alta,"Guriev et al. 2011"
ECU,2006,petroleo,nacionalizacion_total,1.00,"Occidental (Bloque 15)","Caducidad del contrato de Occidental",alta,"Guriev et al. 2011"
VEN,2007,petroleo,participacion_mayoritaria,0.60,"ExxonMobil; ConocoPhillips; Chevron; Total; Statoil; BP","Migracion forzosa de la Faja del Orinoco a empresas mixtas (PDVSA >=60%)",alta,"Guriev et al. 2011"
ARG,2012,petroleo,participacion_mayoritaria,0.51,"Repsol (YPF)","Ley 26.741: expropiacion del 51% de YPF",alta,"Registro publico"
GBR,1982,petroleo,privatizacion,0.49,"BNOC/Britoil","Privatizacion de Britoil (1982-85); BP 1979-87",alta,"Registro publico"
